E1,Relation,E2
stimulated heme oxygenase-1 (HO-1),leads to,accumulation of MIOS and other proteins
calpain,causes,accumulation of tau kinases
exposure to sublethal doses of copper,led to,accumulation of this transition metal in the mitochondria
Alzheimer's disease,can be diagnosed with,accuracy
inclusion of biomarkers,may impact,accuracy and specificity of the diagnosis
co-pathology,influences,accuracy of biomarker interpretation
misreported head motion,can impact,accuracy of measurements
misreported neurodegeneration,can impact,accuracy of measurements
misreporting,can impact,accuracy of measurements
MRI artifacts,can impact,accuracy of measurements
method,maintains,accuracy of variable selection
disease diagnosis module,is incorporated,accurate diagnosis
GMAL,is used to achieve,accurate estimation of causal effect
GMAL,used to achieve,accurate estimation of causal effect
GMAL for covariate selection,achieve,accurate estimation of causal effect
pathologic tau,is impacted by,acetylation
early phosphorylation of Tau proteins,is the cause of,activation
Tau-K18 domain acetyltransferase activity,is the cause of,activation
Tau fragmentation,are caused by,activation of kinases
Tau hyperphosphorylation,are caused by,activation of kinases
release of ox-mtDNA,caused,activation of the inflammasome
normal insulin concentrations,being selectively activated,activation of the PI3K-AKT pathway
adrenal-driven pathways of CYP21A2 deficiency,may reduce the risk of,AD
age,are factors considered to contribute to or predispose individuals to,AD
age,contribute to,AD
alteration of brain IDPs,in,AD
Alzheimer's disease biomarkers,may aid in the overall diagnosis of,AD
Aβ42 levels,are factors considered to contribute to or predispose individuals to,AD
Aβ42 levels,contribute to,AD
"Aβ42 levels, age, and BMI",are factors that predispose individuals to,AD
APOE,linked to,AD
APOE,link between,AD
APOE ε4,influence the development of,AD
"average weekly champagne plus white wine, Danish pastry, and doughnut intake",was causally associated with,AD
BBMs,were associated with,AD
blood BMTs,causal relationship between,AD
Blood-derived mitochondrial DNA copy number,causal relationship between,AD
Blood-derived mitochondrial DNA copy number,was between,AD
Blood-derived mitochondrial DNA copy number,is predictive of,AD
BMI,are factors considered to contribute to or predispose individuals to,AD
BMI,contribute to,AD
Body mass index,no causal relationship between,AD
brain IDPs,in,AD
brain image-derived phenotypes (IDPs),causal relationship between,AD
cathepsins,causal association between,AD
causal associations,were identified with,AD
CD45 on CD33-HLA DR+,may further influence,AD
Cerebrospinal fluid α-synuclein seed amplification assay (αS-SAA) positivity (S+),in,AD
certain gut microbiota,has causal link with,AD
certain gut microbiota,causal link exists between,AD
changes associated with brain-derived small tau,occur,AD
characterization of bvFTD,is challenging due to,AD
cholesterol esters in large LDL,associated with,AD
clinical characterization of bvFTD,is challenging due to,AD
clinical outcomes,were associated with,AD
complications,caused by,AD
CRC,is associated with,AD
CSF biomarker profile,associated with,AD
CVD biomarkers,are associated with,AD
CYP21A2 deficiency,may reduce the risk of,AD
Danish pastry intake,was causally associated with,AD
dementia,after,ad
doughnut intake,was causally associated with,AD
DR and its subtypes,had a potential causal effect on,AD
DR and its subtypes,have a potential causal effect on,AD
DR and its subtypes,has causal effect on,AD
DR and its subtypes,has potential causal effect on,AD
DR and its subtypes,has a potential causal effect on,AD
events,associated with,AD
extent of tau abnormalities,in,AD
factors,are considered to contribute to,AD
factors,are considered to predispose individuals to,AD
Family Lactobacillaceae,had a causal effect on,AD
five,were associated with,AD
genes,associated with,AD
genetic liability to OCD,is a causal risk factor for,AD
genetically predicted levels of five plasma proteins,were causally associated with,AD
genomic factors,may have an impact on,AD
Genus Lachnoclostridium,had a causal effect on,AD
Genus Ruminiclostridium6,had a causal effect on,AD
glutamine,reduced the risk of,AD
gut microbiota,has a causal link with,AD
"high-fat, high-sugar diet",contributes to,AD
"high-fat, high-sugar diet",is associated with,AD
"high-fat, high-sugar diet",results in,AD
"high-fat, high-sugar diet",causes,AD
"high-fat, high-sugar diet",leads to,AD
"high-fat, high-sugar diet",is a cause of,AD
"High-fat, high-sugar diet",causes,AD
higher risk of cognitive decline,due to,AD
immune cell phenotypes,were between,AD
insights,are associated with,AD
"intake of average weekly champagne plus white wine, Danish pastry, and doughnut",was causally associated with,AD
intricate causal relationships,and,AD
it,is associated with,AD
MCI,is due to,AD
MCI,is a condition that is due to,AD
Migraine,may have potential causal relationships with,AD
Migraine,has potential causal relationships with,AD
migraine,has potential causal relationships with,AD
migraine,showed a significant causal relationship with,AD
mild cognitive impairment,due to,AD
mild cognitive impairment presenting with an amnestic syndrome,is considered due to,AD
mitochondrial protein gene variants,notably with,AD
neurodegeneration,fueling,AD
neuroinflammation and Aβ accumulation,in,AD
obesity,differentiate the cause-and-effect relationship between,AD
OCD,is a causal risk factor for,AD
α-synuclein,influenced by,AD
α-synuclein,is related to,AD
optPRS,predict,AD
other complications,are caused by,AD
outcomes,were associated with,AD
P-tau-induced mitochondrial dysfunction,in,AD
phenomic factors,may have an impact on,AD
plasma proteins,causal association between,AD
plasma proteins,were associated with,AD
PM2.5,has a persistent causal relationship with,AD
PM2.5,causes,AD
protective effect,for,AD
regulation of Interleukin-2 levels,may influence,AD
S18,is associated with,AD
six different types of immune cells,and,AD
sleep,influence the development of,AD
sleep and its interaction with APOE ε4,influence of,AD
tau abnormalities,in,AD
tau pathology,influenced by,AD
these factors,are considered to contribute to or predispose individuals to,AD
these factors,have an impact on,AD
three blood BMTs,were associated with,AD
total cholesterol in medium LDL,associated with,AD
traumatic brain injury,had little causal association with,AD
traumatic brain injury,have little causal association with,AD
traumatic brain injury,was not associated with,AD
Trisomy 21,is the most common genetic cause of,AD
WM-PVS,related through a causal relationship,AD
WM-PVS,are related through,AD
WM-PVS,are related through a causal relationship,AD
individuals with mild cognitive impairment (MCI),were due to,AD (AD-MCI)
hypothesized causal association,is between,AD and DR
extent of tau abnormalities,in,AD and other tauopathies
causal relationship between mtDNAcn,has not been determined,AD and PD
mtDNAcn,relationship is unclear,AD and PD
majority,investigated,AD and/or mild cognitive impairment (MCI)
T-tau,does not work well as,AD biomarker
eGFR,impact on,AD biomarker levels
AD biomarkers,is associated with,AD biomarkers
age,impact,AD biomarkers
age,impacts,AD biomarkers
Allostatic load (AL),impacts,AD biomarkers
Allostatic load (AL),impact,AD biomarkers
anxiety,is associated with,AD biomarkers
APOE-ε4,is associated with,AD biomarkers
astrocyte activation PRS,assessed predictive value for,AD biomarkers
blood-derived mitochondrial DNA copy number,is associated with,AD biomarkers
depression,is associated with,AD biomarkers
genetic risk,impact,AD biomarkers
longitudinal cognitive changes,is associated with,AD biomarkers
longitudinal cognitive changes,are associated with,AD biomarkers
NLR,is associated with,AD biomarkers
NPS and depression relationship,is associated with,AD biomarkers
participants,are associated with,AD biomarkers
this glycosylation,impact of on,AD biomarkers
age,impact,AD biomarkers and MCI progression
allostatic load (AL),impact,AD biomarkers and MCI progression
genetic risk,impact,AD biomarkers and MCI progression
kidney function,seems to be associated with,AD blood biomarker concentrations
hippocampal atrophy,is associated with,AD clinical stage transition
cognitive resilience versus AD onset and progression,is associated with,AD dementia
conversion from mild cognitive impairment (MCI),is predicted,AD dementia (ADD)
mild cognitive impairment (MCI),conversion from to,AD dementia (ADD)
Amyloid PET burden,is associated with,AD diagnosis
liver enzymes,were associated with,AD diagnosis
up-regulated genes,are associated with,AD heritability
optPRS,predict,AD in Korean individuals
causal links,with,AD neuropathology
AD dementia,is associated with,AD onset
cognitive resilience,versus,AD onset and progression
brain ageing,is associated with,AD pathogenesis
immune perturbations,contribute to,AD pathogenesis
bile acids (BAs),may impact,AD pathological characteristics
Bile acids (BAs),influence,AD pathological characteristics
Bile acids (BAS),impact,AD pathological characteristics
Bile acids (BAS),influence,AD pathological characteristics
bile acids (bas),influence,ad pathological characteristics
gut microbiota,influence,AD pathological characteristics
gut microbiota,influence,ad pathological characteristics
gut microbiota,impact,AD pathological characteristics
ApoeCh APOE3-R136S (Christchurch),impacted,AD pathological development
CSF and PET amyloid endophenotypes GWAS,can identify signals associated with,AD pathological process
CSF proteome analyses,can identify signals associated with,AD pathological process
"CSF proteome analyses, CSF and PET amyloid endophenotypes GWAS",might be effective for identifying signals associated with,AD pathological process
variance in AD-related cognitive impairment,is associated with,AD pathologies
APOE ε4,associated with,AD pathology
APOE ε4,may be associated with,AD pathology
ApoE4,contributes to,AD pathology
APOE4 allele,contributes to,AD pathology
axial diffusivity,is associated with,AD pathology
baseline connectivity,interaction of,AD pathology
C1q,influences,AD pathology
cognitive complaints,irrespective of,AD pathology
"Mean diffusivity, axial diffusivity, and radial diffusivity",are generally associated with,AD pathology
MHT,associated with,AD pathology
MHT,may be associated with,AD pathology
path-physiological modifications in the cerebral vasculature,contribute to,AD pathology
plasma p-tau217,has higher predictive accuracy in detecting,AD pathology
presence of MHT,may be associated with,AD pathology
radial diffusivity,is associated with,AD pathology
relationship between ApoE4 and microglia,contributes to,AD pathology
risk for progressive decline,irrespective of,AD pathology
sex,influences,AD pathology
COVID-19 lockdown,impact on,AD patients in South Korea
AD dementia,is associated with,AD progression
APOE expression,influence,AD progression
APOE expression and sub haplotypes,influence,AD progression
APOE sub haplotypes,influence,AD progression
Hcy,contribute to,AD progression
Hcy levels,are associated with,AD progression
influence of sub haplotypes,on,AD progression
p-tau217 levels,contribute to,AD progression
short Aβ isoforms,impact of,AD progression
sub haplotypes,have a potential influence on,AD progression
novel use of Piper longum,may result in,AD recovery
novel use of Piper longum,may lead to,AD recovery
Piper longum,may contribute to,AD recovery
novel use of Piper longum,may lead to,AD recovery in the future
deposits of phosphorylated tau protein,because of,AD research focuses on the hippocampal region
data,related to,AD risk
genetic predisposition to T2DM,does not appear to causally influence,AD risk
genetic variants proxying IL-6 inhibition,are associated with,AD risk
osteocalcin,impact on,AD risk
seven gut microbiota,were identified as associated with,AD risk
Sleep apnea,no causal effect of on was found,AD risk
T2DM,does not appear to causally influence,AD risk
Baseline NfL levels,were associated with,AD signature regions
rate of change,were associated with,AD signature regions
NfL,is associated with,AD spectrum
modulators,characterization of,AD trajectories
modulators,characterize,AD trajectories
modulators,alter,AD trajectories
SNP-rs6922617,is associated with,AD-defining neuropathological hallmarks
S2 -> MCI+/AD,was associated with beyond,AD-PRS
it,was not associated with,AD-PRS(no) (APOE)
APOE isoforms,impact,AD-related
volume loss in the subiculum,is associated with,AD-related deposits
proteomic analyses,impacted,AD-related molecular networks
SNP-rs6922617,is associated with,AD-related neuropath
SNP-rs6922617,is associated with,AD-related neuropathological hallmarks
astrocyte reactivity,was associated with,AD-related pathologies
neuroinflammation,have impacts on,AD-related pathologies
neuroinflammation and hypertension,impacts on,AD-related pathologies
plasma p-tau217,is associated with,AD-related pathologies
APOE isoforms,impact,AD-related pathologies at the BBB
APOE isoforms,may impact,AD-related pathologies at the BBB
APOE isoforms,has impact on,AD-related pathologies at the BBB
different APOE isoforms,may impact,AD-related pathologies at the BBB
different APOE isoforms,impact,AD-related pathologies at the BBB
cortical thinning,due to,AD-signature
adaptive setting,resulted in,AD-signature of 0.79
higher tau-PET levels,in,AD-typical brain regions
multi-modal neuroimaging features,in,AD-vulnerable regions
specific types of immune cells,has causal associations with,"AD, PD, ALS and MS"
interventions ameliorating inflammation,may prevent,AD/ADRD
one study,was consistently associated with,AD/dementia and PD
phosphorylated tau 217,in,AD/MCI
decline in Alzheimer's disease,according to,ADAS-cog scores
eGFR,provided,added predictive value to determine Aβ-positivity
Adding NfL+,had no,additional impact within the distinct A/T groups
inverse variance-weighted (IVW) method,supplemented by,additional MR approaches
causal effects of Metabolic-dysfunction associated steatotic liver disease-related diseases on VD,require,additional research
Alzheimer's and vascular pathology,combined impact,additional study
Alzheimer's and vascular pathology combined,impact warrants,additional study
Alzheimer's and vascular pathology combined,impact,additional study
Alzheimer's pathology and vascular pathology combined impact,warrants,additional study
combined impact,warrants,additional study
combined impact of Alzheimer's and vascular pathology,warrants,additional study
proteins,include,ADGRG2
CSF of individuals with preclinical AD,is associated with,adhesion molecules
pathogenesis of AD,is associated with,adhesion molecules
Alzheimer's disease,is associated with,adiponectin levels
Parkinson's disease,is associated with,adiponectin levels
Serum NfL levels,demonstrated predictive value after,adjustment
time to clinical Alzheimer's disease presentation,after,adjustment
adjustment of inter-individual variability,was potentially due to,adjustment of inter-individual variability
increased correlation,was potentially due to,adjustment of inter-individual variability
increased correlation,was due to,adjustment of inter-individual variability
Proteins,include,ADM
T,were defined in,ADNI
APOE ε4 allele,influences,ADRD
APOE ε4 allele,has effect on,ADRD
BBMs,were associated with,ADRD
causal factors,for,ADRD
Alzheimer's disease pathophysiology and neurodegeneration,in,adults with Down syndrome
αSyn co-pathology,is more prevalent in,advanced AD
cognitive decline,due to,advanced aging
This,contributes to,advancing precision medicine approaches in Alzheimer's disease
this,contributes to,advancing precision medicine approaches in Alzheimer's disease
Apolipoprotein E ε4 genotype,has been associated with,adverse cognitive outcomes
two constructs,were not associated with,adverse effects
cannabis intake,may cause,adverse effects relating to certain neuropsychiatric disorders
APOE-ε4 allele,is associated with,adverse events
drug treatment,is associated with,adverse events
influence,may be one of the many factors contributing to,adverse outcomes
APOE4,predicts,adverse response (ARIA)
other factors,were previously associated with,aetiology of AD
other factors,were associated with,aetiology of AD
identifying corticobasal degeneration pathology in life,without,aetiology-specific biomarkers
confounded fluctuations,were due to,affected cerebrospinal fluid dynamics
aged P301S tau transgenic mice,from,affected individuals
peripheral blood from aged P301S tau transgenic mice from affected individuals,is from,affected individuals
right middle temporal Neuropsychiatric symptoms (rMTG),was associated with,affective factor
functional connectivity strength,based on,affective Neuropsychiatric symptoms severity
model,predicted,affective Neuropsychiatric symptoms severity
the model,predicted,affective Neuropsychiatric symptoms severity
Alzheimer's disease pathology,is associated with,affective symptoms
Aβ(42) in cerebrospinal fluid,is associated with,affective symptoms
causal plasma proteins,in,African ancestry populations
Aβ and tau,were predictive factors,after 2-year follow-up
causal relationship,was disappeared,after adjustment of total cholesterol
associations,were somewhat attenuated,after excluding single-nucleotide polymorphisms associated with body mass index
neurofilament light chain,is associated with,AGB101
slowing entorhinal cortex atrophy,is associated with,AGB101
APOE ε4 non-carriers with mild cognitive impairment due to Alzheimer's disease,are associated with,AGB101 treatment
AD biomarkers,are impacted by,age
Aβ42 levels,associated with,age
Aβ42 levels,were associated with,age
APOE-ε4,was associated with,age
biomarker levels,were associated with,age
"levels of Aβ42, P-tau, and T-tau",were associated with,age
MCI progression,is impacted by,age
medial temporal lobe involvement,was associated with,age
P-tau levels,associated with,age
P-tau levels,were associated with,age
patterns,were associated with,age
plasma biomarker levels,could be influenced by,age
prevalence estimates of CMBs,were associated with,age
prevalence of CMBs,was associated with,age
sex,associated with,age
sex,was associated with,age
subtypes,were associated with,age
T-tau levels,associated with,age
T-tau levels,were associated with,age
APOE -ε4 status,influence,age at biomarker positivity
sex,interaction on,age at biomarker positivity
baseline plasma p-tau181,is differentially associated with,age neurodegeneration
hippocampal formation structures,are differentially associated with,age neurodegeneration
Apolipoprotein E ε4,influences,age of onset and severity of stroke
APOE-ε4,was associated with,age within each ancestry group
APOE4 carriers,in,age-at-diagnosis of Alzheimer disease
BCHE-K carrier status,has impact on,age-at-diagnosis of Alzheimer disease
BCHE-K carrier status,impact on,age-at-diagnosis of Alzheimer disease
BCHE-K carrier status,examined the impact of,age-at-diagnosis of Alzheimer disease in APOE4 carriers
AD,is caused by,age-related changes
AD,are leading causes of,age-related cognitive decline
CVD,are leading causes of,age-related cognitive decline
ApoE-ε4 isoform,has a potential role associated with,age-related hearing loss (ARHL)
amyloid beta generation,are driven by,age-related inflammatory signaling
amyloid beta generation,is driven by,age-related inflammatory signaling
Tau hyperphosphorylation,are driven by,age-related inflammatory signaling
APOE ε4 or ε2 allele,impact of at least one,age-related log-transformed plasma NfL increases
cubic spline models using Hamiltonian Markov chain Monte Carlo method,characterize the respective impact of,age-related log-transformed plasma NfL increases
GD,has no causal linkages with,age-related macular degeneration
GD,no causal linkages between,age-related macular degeneration
IVW analysis results,had no causal effect on,age-related macular degeneration
APOE ε4 and ε2 variants,impact,age-related plasma NfL increases and cognition
stratification,based on,age-specific biomarker thresholds
stratification of individuals,based on,age-specific biomarker thresholds
grey matter volume,was modulated by,"age, gender, and AT stages"
co-occurring phospho-epitopes,in,aged mice
insoluble fraction,in,aged mice
tauopathy,in,aged mice
peripheral blood,from,aged P301S tau transgenic mice
brain function,associated with,ageing-related changes
brain structure,associated with,ageing-related changes
genetic variation,is associated with,ageing-related changes
imbalance,might be due to,aggregated and soluble species
memory loss,are caused by,Aggregated Aβ and tau
Neurodegeneration,are caused by,Aggregated Aβ and tau
imbalance,be due to,aggregated species
αSyn co-pathology,contributes to the development of,aggregated tau pathology
multifunctional protein,is associated with,aggregation of tau
Apolipoprotein E,has an impact on,aging
Apolipoprotein E,impacts,aging
causes of cognitive decline,is heterogeneity in,aging
causes of cognitive decline,in,aging
causes of cognitive decline,include,aging
cognitive decline,in,aging
cognitive decline,causes of,aging
GD,causal relationship between,aging
High TH levels,are associated with,aging
Several factors,linked to,aging
glucose fluctuations,impact of,aging brain
global health challenge,intensified by,aging population
DNA methylation-based epigenetic clock,predicts,aging processes and health outcomes
inferior temporal cortices,are related to,aging-related molecular pathways
right insula,are related to,aging-related molecular pathways
previously underestimated and newly identified sets of exposure outcome causal association evidence,also included,alcohol intake frequency with PD
apolipoprotein (APOE) ε4 allele,across,all four cognitive domains
value of 100 percent,indicates that,all of the variation is due to heterogeneity rather than chance
cognitive vulnerability to glucose fluctuations,was associated with,all plasma biomarkers
diffuse and compact amyloid-beta plaques,across,all regions
Aβ(42)/Aβ(40) ratio in soluble protofibrils,was associated with,all the investigated CSF biomarkers
ratio in plaques,was associated with,all the investigated CSF biomarkers
multimodal biomarker model,including,all three biomarkers
APOE genotype,influences the deposition of,all types of amyloid pathology
causal relationship,was observed with,all-cause dementia
consensus-diagnosed AD,MAIN OUTCOMES AND MEASURES,all-cause dementia
consensus-diagnosed MCI,MAIN OUTCOMES AND MEASURES,all-cause dementia
five types of dementia,included,all-cause dementia
it,is associated with,all-cause dementia
men,had greater association with,all-cause dementia
objective,was to assess,all-cause dementia
RPS6KB1,association between,all-cause dementia
RPS6KB1,had stronger association with,all-cause dementia
RPS6KB1,associated with,all-cause dementia
they,protect from,all-cause dementia
RPS6KB1,had more significant association with,all-cause dementia in men
Inflammatory bowel disease,is to be assessed for causality with,all-cause dementia occurrence
Inflammatory bowel disease,was not genetically associated with,all-cause Inflammatory bowel disease
AD biomarkers,are impacted by,allostatic load (AL)
MCI progression,is impacted by,allostatic load (AL)
identification and validation of biomarkers associated with cognitive decline,can be,allowed
the intervention,was feasible,alone
BUAN,supports,along-tract statistical analyses
factors,identified by,along-tract statistical analyses
factors associated with the brain microstructure,are identified by,along-tract statistical analyses
Tau maturation,is more strongly associated with,alpha-synuclein
amyloid beta,combined pathological impacts,alpha-synuclein aggregates
Phospho-tau proteins,combined pathological impacts,alpha-synuclein aggregates
Phospho-tau proteins,combined pathological impacts have been recognized in,alpha-synuclein aggregates
Alzheimer's disease neuropathologic change,commonly co-exist,alpha-synucleinopathy
Mature tau,may be more closely related to,alpha-synucleinopathy
AD,may have a potential causal relationship with,ALS
Apolipoprotein E,influences,ALS
Body mass index,no causal relationship between,ALS
cognitive deficits,are not associated with,ALS
PD,may have a potential causal relationship with,ALS
PD,increases the risk of,ALS
BMTs,contribute to,alteration of brain IDPs in AD
relationships,may contribute to,alteration of brain IDPs in AD
subset of BMTs,may contribute to,alteration of brain IDPs in AD
subset of BMTs,contribute to,alteration of brain IDPs in AD
brain tissue,was associated with,alterations
changes,were caused by,alterations in glycolytic flux
Alzheimer's disease,is associated with,alterations in hippocampal volume
populations at risk,are due to,alterations in lifestyle
Tau pathology,contributes to,altered excitatory tone
tau pathology,contributes to,altered excitatory tone
anemia/sensory impairment pattern,was associated with,altered levels of all biomarkers
cardiometabolic/inflammatory pattern,was associated with,altered levels of all biomarkers
lysosomal stress signs,such as,altered lysosomal pH
tau pathology,contributes to,altered metabolic states
tau pathology,independently contributes to,altered metabolic states
Tau pathology,contributes to,altered metabolic states
tau pathology,independently contributes to,altered metabolic states and excitatory tone
tau pathology,contributes to,altered metabolic states and excitatory tone
"exons 2, 3, and 10",are involved in,alternative splicing
confounding factors,impact of,ALZAN cohort
Tau,causes,Alzheimer
researchers or study authors,studied,Alzheimer biomarker p-tau231
Alzheimer disease biomarkers,were associated with,Alzheimer disease
Alzheimer disease fold,is associated with,Alzheimer disease
Alzheimer disease pathophysiology,was associated with,Alzheimer disease
apolipoprotein E ε4 gene,is associated with,Alzheimer disease
blood biomarker,associated with,Alzheimer disease
causal plasma proteins,are for,Alzheimer disease
coronary artery disease,causal effect on,Alzheimer disease
etiology of AD,is the cause of,Alzheimer disease
group with mild cognitive impairment,due to,Alzheimer disease
panic disorder,causal association existed between,Alzheimer disease
plasma proteins,are causal for,Alzheimer disease
plasma proteins,are the causal factors of,Alzheimer disease
risk,was associated with,Alzheimer disease
"Self-CFI (β = 0.01 [-0.001, 0.02], p = 0.10)",was not associated with,Alzheimer disease
Tau pathology,in,Alzheimer disease
APOE ε4 allele copy number,is associated with,Alzheimer disease (AD)
cognitive decline,associated with,Alzheimer disease (AD)
living in a socioeconomically disadvantaged neighborhood,including increased risk of,Alzheimer disease (AD)
β-amyloid (Aβ) deposition,in,Alzheimer disease (AD)
β-amyloid (Aβ) deposition,associated with,Alzheimer disease (AD)
β-amyloid (Aβ) deposition,is associated with,Alzheimer disease (AD)
volume loss in the basal forebrain (BF),associated with,Alzheimer disease (AD)
APOE ε4 allele,is associated with,Alzheimer disease (AD) dementia
blood-based biomarkers of amyloid,have been shown to predict,Alzheimer disease (AD) dementia
blood-based biomarkers of tau,have been shown to predict,Alzheimer disease (AD) dementia
statin initiation,is associated with,Alzheimer disease (AD) dementia
fine-mapping causal proteins,is used for,Alzheimer disease AD
plasma protein pathways,is related to,Alzheimer disease AD
Alzheimer disease biomarkers,were associated with,Alzheimer disease biomarkers
association,was associated with,Alzheimer disease biomarkers
blood-derived mitochondrial DNA copy number,was associated with,Alzheimer disease biomarkers
imaging markers,is associated with,Alzheimer disease biomarkers
interplay between imaging markers,is associated with,Alzheimer disease biomarkers
serum metabolites,were associated with,Alzheimer disease biomarkers
Tau burden,is associated with,Alzheimer disease decline
DIAD,is associated with,Alzheimer disease fold
trials,are for,Alzheimer disease prevention
cognitive outcome measures,are for,Alzheimer disease prevention trials
cognitive outcome measures,are unclear in,Alzheimer disease prevention trials
Aligning outcome regions,with,Alzheimer disease stage
"PACC (β = -0.02 [-0.03, -0.01], p < 0.001)",was independently associated with,Alzheimer disease tau
Self-CFI,was independently associated with,Alzheimer disease tau
Alzheimer disease fold,are associated with,"Alzheimer disease, DIAD"
effect,was due to,Alzheimer's
apathy and affective neuropsychiatric symptoms,are prevalent in,Alzheimer's (AD)
accelerated cognitive decline,is a distinctive characteristic of,Alzheimer's disease
AD,stands for,Alzheimer's disease
age-related increases in cerebrospinal fluid total-tau,are associated with,Alzheimer's disease
age-related increases in neurofilament light chain,are associated with,Alzheimer's disease
alterations,are associated with,Alzheimer's disease
Alzheimer's disease,is associated with,Alzheimer's disease
Alzheimer's disease,associated with,Alzheimer's disease
Alzheimer's disease,can influence,Alzheimer's disease
Alzheimer's disease dementia,is associated with,Alzheimer's disease
Alzheimer's disease OPG levels,was observed,Alzheimer's disease
Alzheimer's disease pathology,is associated with,Alzheimer's disease
Alzheimer's disease pathology,is closely related to,Alzheimer's disease
amyloid beta,is associated with,Alzheimer's disease
amyloid beta deposition,is associated with,Alzheimer's disease
Aβ and tau pathology,in co-occurring,Alzheimer's disease
Aβ and tau pathology,has an influence on,Alzheimer's disease
apathy,is a symptom of,Alzheimer's disease
apathy and affective neuropsychiatric symptoms,are prevalent in,Alzheimer's disease
APOE genotype,influences,Alzheimer's disease
APOE genotype,influence,Alzheimer's disease
APOE ε4,role is considered in,Alzheimer's disease
APOE ε4,is related to,Alzheimer's disease
APOE ε4,is associated with,Alzheimer's disease
ApoE4 carriers,contribute to,Alzheimer's Disease
Apolipoprotein E,impacts,Alzheimer's disease
apolipoprotein E ε4 allele,was associated with,Alzheimer's disease
biomarker profile,is associated with,Alzheimer's disease
biomarker profile in cerebrospinal fluid,associated with,Alzheimer's disease
biomarkers,associated with,Alzheimer's disease
biomarkers,are associated with,Alzheimer's disease
biracial community cohort of older adults,of,Alzheimer's disease
blood glucose,were negatively associated with,Alzheimer's disease
