PMID,Title,csv_name,SentenceIndex,Sentence,predicted_label_id,predicted_label
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,4,"The the study included a total of 1370 cognitively unimpaired subjects and 449 with mild cognitive impairment, followed longitudinally with tau-PET and p-tau217.",4,Simple Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,5,APOE4 allele carriers accounted for 40.2%-50% of the cohorts.,4,Simple Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,6,Different linear regressions (cross-sectional) and linear mixed-effect models (longitudinal) with tau measures as outcomes were fitted to test the effect of APOE4 allele both as an independent predictor and in combination with baseline amyloid-β load (including interaction).,0,Complex Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,7,"All models included age, sex and cognitive status as covariates.",4,Simple Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,8,"We found no independent effects of APOE4 allele carriership on insoluble tau in either the study (BioFINDER-2 or WRAP), on both cross-sectional and longitudinal tau-PET in the temporal meta-ROI, when amyloid-β was present in the model (P = 0.531-0.949).",0,Complex Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,9,"Aβ alone was the best predictor of insoluble tau accumulation, with no interaction between APOE4 and Aβ on tau-PET.",4,Simple Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,10,"In amyloid-β there was a significant interaction between APOE4 allele and Aβ (b = 0.166, P < 0.001) in the entorhinal cortex at baseline.",4,Simple Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,11,"However, the interaction was not present in the study PET.",4,Simple Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,12,No independent effects of the APOE4 allele carriership on baseline (P = 0.683-0.708) and longitudinal (P = 0.188-0.570) soluble p-tau217 were observed when amyloid-β was included in the model in the study and WRAP.,0,Complex Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,13,"Likewise, no interaction between APOE4 allele and Aβ on soluble p-tau217 was observed.",4,Simple Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,14,"Mediation analysis revealed that amyloid-β load fully mediated most associations between APOE4 and tau (46%-112%, either cross-sectional or longitudinal tau-PET or soluble p-tau217).",0,Complex Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,15,"In the largest cohort (BioFINDER-2), looking at APOE4 allele groups by the number of ε4 alleles, we found an interaction between APOE4 allele homozygotes and amyloid-β on tau-PET levels at baseline and over time in the temporal meta-ROI, whereas in the entorhinal cortex this effect was observed only at baseline.",2,Compound-Complex Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,16,"In conclusion, although APOE4 is strongly associated with amyloid-β aggregation, APOE4 allele seems to be associated minimally with longitudinal changes in soluble or insoluble p-tau levels at a given level of amyloid-β pathology, confirming the primacy of Aβ in driving tau pathology.",0,Complex Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,0,INTRODUCTION: Factors influencing plasma Alzheimer's disease (AD) biomarkers remain incompletely understood.,4,Simple Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,1,Here we evaluated Fujirebio plasma plasma p-Tau(217) two diverse cohorts among whom 91% underwent cerebrospinal fluid cerebrospinal fluid analysis.,0,Complex Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,2,"METHODS: Non-Hispanic White Non-Hispanic White n = 113), Black/African American Black/African American n = 66), and Chinese American Chinese American n = 38) participants recruited from two universities were included.",4,Simple Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,3,"We examined if plasma p-Tau(217) correlated with cerebrospinal fluid and clinical factors, differed between racial groups, and associated with novel CSF proteins.",0,Complex Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,4,RESULTS: cerebrospinal fluid p-Tau(181) strongly correlated with cerebrospinal fluid p-Tau(217) (R(2)= 0.912) which moderately correlated with plasma p-Tau(217) (R(2)= 0.694).,0,Complex Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,5,plasma p-Tau(217) levels were higher with greater cognitive impairment but lower in Black/African American than Non-Hispanic White participants even after adjusting for cerebrospinal fluid p-Tau(181).,4,Simple Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,6,"This resulted in greater positive predictive value for Non-Hispanic White than Black/African American participants, and could be mediated by complement or lysosomal pathways.",1,Compound Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,7,DISCUSSION: Severity of cognitive impairment and race both influence plasma p-Tau(217) levels beyond race-associated differences in cerebrospinal fluid p-Tau(181).,4,Simple Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,8,HIGHLIGHTS: Cognitive impairment associates with plasma p-Tau(217) independent of cerebrospinal fluid biomarkers.,4,Simple Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,9,Black/African American Americans had lower plasma p-Tau(217) Black/African American Non-Hispanic White White Americans.,4,Simple Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,10,cerebrospinal fluid cerebrospinal fluid could not explain lower plasma p-Tau(217) in Black/African American Americans.,4,Simple Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,11,Plasma p-Tau(217) difference results in more false positive cases according to race.,4,Simple Sentence
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,AD,12,Novel cerebrospinal fluid processes were associated with race-related plasma p-Tau(217) difference.,4,Simple Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,0,"Recent literature suggests that markers of neuroaxonal damage, such as Neurofilament light chain and heavy chain tau protein, might serve as potential biomarkers for Amyotrophic lateral sclerosis We conducted this systematic review and meta-analysis study to compare Cerebrospinal fluid and blood levels of total tau (t-tau), phosphorylated tau (p-tau), amyloid beta peptide 42 (Abeta-42), and Neurofilament light chain and heavy chain Amyotrophic lateral sclerosis patients and controls.",0,Complex Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,1,"A systematic search of Cochrane Library, PubMed, Embase, and ISI Web of Science was conducted on March 18, 2022, and updated on January 26, 2023.",1,Compound Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,2,"Observational studies that compared the concentrations of neurofilament light chain (NfL), neurofilament heavy chain (NFH), t-tau, p-tau, or Abeta-42 in Cerebrospinal fluid or peripheral blood of Amyotrophic lateral sclerosis patients and Amyotrophic lateral sclerosis were included.",0,Complex Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,3,"Data from relevant studies were independently extracted and screened for quality using a standard tool, by at least two authors.",4,Simple Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,4,Meta-analysis was conducted when a minimum of 3 studies reported the same biomarker within the same biofluid.,4,Simple Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,5,A total of 100 studies were eligible for at least one meta-analysis.,4,Simple Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,6,Cerebrospinal fluid levels of NfL (standardized mean difference (SMD) [95% CI]; CSF: 1.46 [1.25-1.68]; blood: 1.35 [1.09-1.60]) and NFH Cerebrospinal fluid blood: 0.90 [0.58-1.22]) were significantly higher in Amyotrophic lateral sclerosis Amyotrophic lateral sclerosis compared with controls.,1,Compound Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,7,"The pooled differences between Amyotrophic lateral sclerosis Amyotrophic lateral sclerosis and controls were not significant for Cerebrospinal fluid t-tau, blood t-tau, and Cerebrospinal fluid Abeta-42, but Cerebrospinal fluid p-tau was lower in Amyotrophic lateral sclerosis Amyotrophic lateral sclerosis (-0.27 [-0.47- -0.07]).",1,Compound Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,8,Significantly decreased p-tau/t-tau ratios were found in Amyotrophic lateral sclerosis Amyotrophic lateral sclerosis compared with controls (-0.84 [-1.16- -0.53]).,4,Simple Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,9,Heterogeneity was considerable in most of our meta-analyses.,4,Simple Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,10,"Cerebrospinal fluid Neurofilament light chain and heavy chain as well as the Cerebrospinal fluid p-tau/t-tau ratio, might be potential candidates Cerebrospinal fluid improving Amyotrophic lateral sclerosis diagnosis.",0,Complex Sentence
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.",AD,11,Further research is warranted to better understand the underlying mechanisms and the clinical implications of these biomarker alterations.,0,Complex Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,0,"BACKGROUND: It is not fully established whether plasma β-amyloid(Aβ)(42)/Aβ(40) and phosphorylated Tau(181) (p-Tau(181)) can effectively detect Alzheimer's disease (AD) pathophysiology in older Chinese adults and how these biomarkers correlate with astrocyte reactivity, Aβ plaque deposition, tau tangle aggregation, and neurodegeneration.",0,Complex Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,1,"METHODS: We recruited 470 older adults and analyzed plasma Aβ(42)/Aβ(40), p-Tau(181), glial fibrillary acidic protein (GFAP), and neurofilament light (NfL) using the Simoa platform.",0,Complex Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,2,"Among them, 301, 195, and 70 underwent magnetic resonance imaging, Aβ and tau positron emission tomography imaging.",4,Simple Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,3,The plasma Aβ(42)/Aβ(40) and p-Tau(181) thresholds were defined as ≤0.0609 and ≥2.418 based on the receiver operating characteristic curve analysis using the Youden index by comparing Aβ-PET negative cognitively unimpaired individuals and Aβ-PET positive cognitively impaired patients.,0,Complex Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,4,"To evaluate the feasibility of using plasma Aβ(42)/Aβ(40) (A) and p-Tau(181) (T) to detect AD and understand how astrocyte reactivity affects this process, we compared plasma GFAP, Aβ plaque, tau tangle, plasma NfL, hippocampal volume, and temporal-metaROI cortical thickness between different plasma A/T profiles and explored their relations with each other using general linear models, including age, sex, APOE-ε4, and diagnosis as covariates.",0,Complex Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,5,"RESULTS: Plasma A+/T + individuals showed the highest levels of astrocyte reactivity, Aβ plaque, tau tangle, and axonal degeneration, and the lowest hippocampal volume and temporal-metaROI cortical thickness.",1,Compound Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,6,Lower plasma Aβ(42)/Aβ(40) and higher plasma p-Tau(181) were independently and synergistically correlated with higher plasma GFAP and Aβ plaque.,4,Simple Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,7,Elevated plasma p-Tau(181) and GFAP concentrations were directly and interactively associated with more tau tangle formation.,4,Simple Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,8,"Regarding neurodegeneration, higher plasma p-Tau(181) and GFAP concentrations strongly correlated with more axonal degeneration, as measured by plasma NfL, and lower plasma Aβ(42)/Aβ(40) and higher plasma p-Tau(181) were related to greater hippocampal atrophy.",2,Compound-Complex Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,9,Higher plasma GFAP levels were associated with thinner cortical thickness and significantly interacted with lower plasma Aβ(42)/Aβ(40) and higher plasma p-Tau(181) in predicting more temporal-metaROI cortical thinning.,1,Compound Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,10,Voxel-wise imaging analysis confirmed these findings.,4,Simple Sentence
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,AD,11,"DISCUSSION: This study provides a valuable reference for using plasma biomarkers to detect AD in the Chinese community population and offers novel insights into how astrocyte reactivity contributes to AD progression, highlighting the importance of targeting reactive astrogliosis to prevent AD.",0,Complex Sentence
40151521,Plasma biomarker trajectories: Impact of AD genetic risk and clinical progression.,AD,0,INTRODUCTION: We examined long-term plasma biomarker trajectories among participants who were cognitively unimpaired and primarily middle aged at baseline and whether trajectories differed by Alzheimer's disease (AD) genetic risk and among participants who were cognitively unimpaired and primarily middle aged at baseline participants who were cognitively unimpaired and primarily middle aged at baseline developed cognitive impairment.,0,Complex Sentence
40151521,Plasma biomarker trajectories: Impact of AD genetic risk and clinical progression.,AD,1,"METHODS: Plasma amyloid beta (Aβ)(42)/Aβ(40), phosphorylated tau (p-tau)(181), neurofilament light chain (NfL), glial fibrillary acidic protein (GFAP), soluble triggering receptor expressed on myeloid cells, and chitinase 3-like protein 1 were measured longitudinally in 177 BIOCARD participants (M baseline age = 57.7 years; M follow-up = 15.8 years), including 57 BIOCARD participants BIOCARD participants cognitive impairment.",0,Complex Sentence
40151521,Plasma biomarker trajectories: Impact of AD genetic risk and clinical progression.,AD,2,Measures of AD genetic risk included apolipoprotein E (APOE) ε4 and an AD polygenic risk score (AD-PRS).,4,Simple Sentence
40151521,Plasma biomarker trajectories: Impact of AD genetic risk and clinical progression.,AD,3,"RESULTS: Compared to non-carriers, APOE ε4 carriers had lower Aβ(42)/Aβ(40) and greater longitudinal increases in p-tau(181) and GFAP; in contrast, the AD-PRS (excluding the APOE region) was associated with greater declines in Aβ(42)/Aβ(40) among APOE ε4 non-carriers.",2,Compound-Complex Sentence
40151521,Plasma biomarker trajectories: Impact of AD genetic risk and clinical progression.,AD,4,"Rates of increase in p-tau(181), NfL, and GFAP were greater among participants who were cognitively unimpaired and primarily middle aged at baseline participants who were cognitively unimpaired and primarily middle aged at baseline later developed cognitive impairment.",0,Complex Sentence
40151521,Plasma biomarker trajectories: Impact of AD genetic risk and clinical progression.,AD,5,"DISCUSSION: Monitoring changes in plasma p-tau(181), NfL, and GFAP may be particularly informative during preclinical AD.",0,Complex Sentence
40151521,Plasma biomarker trajectories: Impact of AD genetic risk and clinical progression.,AD,6,"HIGHLIGHTS: We (researchers) examined plasma biomarker changes in cognitively normal individuals over 15.8 years.Apolipoprotein E (APOE) ε4 was related to lower amyloid beta (Aβ)(42)/Aβ(40) and greater increases in phosphorylated tau (p-tau)(181) and glial fibrillary acidic protein (GFAP).In APOE ε4 non-carriers, higher Alzheimer's disease (AD) polygenic risk score was related to greater Aβ(42)/Aβ(40) declines.P-tau(181), NfL, and GFAP increases were greater among those who progressed to mild cognitive impairment.Results highlight the predictive value of plasma biomarkers during preclinical AD.",0,Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,0,"BACKGROUND: Novel phosphorylated-tau (p-tau) blood biomarkers (e.g., p-tau181, p-tau217 or p-tau231), are highly specific for Alzheimer's disease Alzheimer's disease and can track amyloid-β amyloid-β and tau pathology.",0,Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,1,"However, because these biomarkers are strongly associated with the emergence of amyloid-β pathology, it is difficult to determine the contribution of insoluble tau aggregates to the plasma p-tau signal in blood.",0,Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,2,"Therefore, there remains a need for a biomarker capable of specifically tracking insoluble tau accumulation in brain.",0,Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,3,"METHODS: NTA is a novel ultrasensitive assay targeting N-terminal containing tau fragments (NTA-tau) in cerebrospinal fluid (CSF) and plasma, which is elevated in AD.",0,Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,4,"Using two well-characterized research cohorts (BioFINDER-2, n = 1,294, and BioFINDER-1, n = 932), we investigated the association between plasma NTA-tau levels and disease progression in Alzheimer's disease including tau accumulation, brain atrophy and cognitive decline.",0,Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,5,"RESULTS: We demonstrate that plasma NTA-tau increases across the AD continuum¸ especially during late stages, and displays a moderate-to-strong association with tau-PET (β = 0.54, p < 0.001) in amyloid-β amyloid-β while weak with Aβ-PET (β = 0.28, p < 0.001).",2,Compound-Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,6,"Unlike plasma p-tau181, GFAP, NfL and t-tau, tau pathology determined amyloid-β tau-PET is the most prominent contributor to NTA-tau variance (52.5% of total R(2)), while having very low contribution from amyloid-β amyloid-β measured with amyloid-β amyloid-β (4.3%).",2,Compound-Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,7,"High baseline NTA-tau levels are predictive of tau-PET accumulation (R(2) = 0.27), steeper atrophy (R(2) ≥ 0.18) and steeper cognitive decline (R(2) ≥ 0.27) in participants within the Alzheimer's disease Alzheimer's disease Plasma NTA-tau levels significantly increase over time in amyloid-β positive cognitively unimpaired (β(std) = 0.16) and impaired (β(std) = 0.18) at baseline compared to their Aβ negative counterparts.",2,Compound-Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,8,"Finally, longitudinal increases in plasma NTA-tau levels were associated with steeper longitudinal decreases in cortical thickness (R(2) = 0.21) and cognition (R(2) = 0.20).",0,Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,9,CONCLUSION: Our results indicate that plasma NTA-tau levels increase across the Alzheimer's disease Alzheimer's disease especially during mid-to-late Alzheimer's disease Alzheimer's disease and it is closely associated with in vivo tau tangle deposition in Alzheimer's disease Alzheimer's disease its downstream effects.,2,Compound-Complex Sentence
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,AD,10,"Moreover, this novel biomarker has potential as a cost-effective and easily accessible tool for monitoring Alzheimer's disease Alzheimer's disease and cognitive decline in clinical settings, and as an outcome measure in clinical trials which also need to assess the downstream effects Alzheimer's disease successful Aβ removal.",2,Compound-Complex Sentence
38306599,Evaluation of ATN(PD) Framework and Biofluid Markers to Predict Cognitive Decline in Early Parkinson Disease.,AD,0,BACKGROUND AND OBJECTIVES: In Parkinson disease Parkinson disease Alzheimer disease Alzheimer disease copathology is common and clinically relevant.,4,Simple Sentence
38306599,Evaluation of ATN(PD) Framework and Biofluid Markers to Predict Cognitive Decline in Early Parkinson Disease.,AD,1,"However, the longitudinal progression of Alzheimer disease CSF biomarkers-β-amyloid 1-42 (Aβ(42)), phosphorylated tau 181 (p-tau(181)), and total tau (t-tau)-in Parkinson disease is poorly understood and may be distinct from clinical AD.",0,Complex Sentence
38306599,Evaluation of ATN(PD) Framework and Biofluid Markers to Predict Cognitive Decline in Early Parkinson Disease.,AD,2,"Moreover, the longitudinal progression of AD CSF biomarkers is unclear whether CSF p-tau(181) and serum neurofilament light (NfL) have added prognostic utility in Parkinson disease when combined with CSF Aβ(42).",0,Complex Sentence
38306599,Evaluation of ATN(PD) Framework and Biofluid Markers to Predict Cognitive Decline in Early Parkinson Disease.,AD,3,"First, we describe longitudinal trajectories of biofluid markers in PD.",4,Simple Sentence
38306599,Evaluation of ATN(PD) Framework and Biofluid Markers to Predict Cognitive Decline in Early Parkinson Disease.,AD,4,"Second, we modified the AD β-amyloid/tau/neurodegeneration (ATN) framework for application in Parkinson disease (ATN(PD)) using CSF Aβ(42) (A), p-tau(181) (T), and serum NfL (N) and tested ATN(PD) prediction of longitudinal cognitive decline in PD.",0,Complex Sentence
