E1,Relation,E2
all-cause mortality,is the composite of,myocardial infarction
all-cause mortality,includes,myocardial infarction
all-cause mortality,had,no significant association
all-cause mortality,regarding,patients
all-cause mortality,was adjusted for,sex
all-cause mortality,risk of,sleep duration exceeding 9 hours per day
all-cause mortality,is the composite of,stroke
All-cause mortality,includes,stroke
all-cause mortality,was considered,study endpoint
all-cause mortality,includes,target vessel revascularization
all-cause mortality,is related to,the relationship
all-cause mortality prediction models,performed significantly better in,patients with ACS and T2DM after PCI
all-cause mortality rates,were observed among,participants in the 4th ALP quartile
all-cause mortality risk during the follow-up period,among,patients with varying disease onset ages
allelic effect of rs488532,increases,risk of diabetic retinopathy
alleviation of aging,is caused by,SGLT2i
ALP levels,have clinical value in predicting,all-cause and CVD mortality risk in T2DM patients
alpha-glucosidase inhibitors,associated with,lower all-cause mortality
alpha-glucosidase inhibitors,were not associated with,reduced lung cancer risk
alteration,leads to,cardiomyopathy
alteration,leads to,diabetes
alterations,contribute to,pathogenesis of Type 2 diabetes mellitus arterial remodeling
altered adipokine profiles,are associated with,changes in insulin sensitivity
altered adipokine profiles,cause,changes in insulin sensitivity
altered adipokine profiles,lead to,changes in insulin sensitivity
altered adipokine profiles,result in,changes in insulin sensitivity
altered adipokine profiles,due to,changes in insulin sensitivity
altered adipokine profiles,are associated with,severe metabolic risks
altered adipokine profiles,cause,severe metabolic risks
altered adipokine profiles,lead to,severe metabolic risks
altered adipokine profiles,result in,severe metabolic risks
altered adipokine profiles,due to,severe metabolic risks
altered bacteria,were associated with,BAs metabolism
altered mental status,for,patients with and without diabetes
altered metabolic status,can cause,diabetes
altered profiles,were associated with,T2DM risk
alternative treatments,are required,therefore
Alzheimer's disease,is associated with,accumulation of amyloid-β (Aβ) plaques
Alzheimer's disease,is associated with,amyloid-β (Aβ) plaques
Alzheimer's disease,is associated with,amyloid-β production
Alzheimer's disease,is associated with,BACE1
Alzheimer's disease,is associated with,chronic inflammation
Alzheimer's disease,is associated with,dysfunctional neurons
Alzheimer's disease,is caused by,genetic factors
Alzheimer's disease,is associated with,neurofibrillary tangles (NFTs)
Alzheimer's disease,is associated with,synapse loss
Alzheimer's disease,is associated with,synapse loss in the brain
Alzheimer's disease,has great potential as a target for,treatment of Alzheimer's disease
Alzheimer's disease (AD),is included in,cognitive decline and dementia
Alzheimer's disease pathogenesis,is associated with,ApoE ε4
Alzheimer's disease pathology,through,multiple mechanisms
Alzheimer's disease risk factors,negatively impact,daily functioning
Alzheimer's disease risk factors,have impact on,daily functioning
ameliorated by the formula,through,De novo lipogenesis pathway
amelioration of lipid accumulation,due to,extract of Phyllanthus emblica L.
amelioration of lipid accumulation,due to,treatment
amino acids,contribute to,preventing metabolic disorders
AMPK,is the target of,metformin
AMPK,associated with,risk of developing IBD
AMPK-related variants,were associated with,HbA1c (%)
AMPK-related variants,are associated with,HbA1c (%)
AMPK-related variants associated with HbA1c (%),as instrumental variables for,AMPK
amyloid burden,was associated with,greater increases in functional difficulties
amyloid burden,was associated with,increases in functional difficulties
amyloid-β production,associated with,Alzheimer's disease
Amyloid-β production,is associated with,Alzheimer's disease
amyloid-β production,is associated with,type 2 diabetes mellitus
analyses,included,patients
analyses,found,significant causal associations between MVPA and MS
analyses of previous studies,were the reason for,controversy
analyses of previous studies,caused,controversy
analyses of previous studies,having,uncontrolled and uncertain confounding factors
analyses of previous studies,had,uncontrolled and uncertain confounding factors
analysis,was to further evaluate,causal association
analysis,is used to reveal,causal connection with gut microbiota
analysis,supported,causal relationship between shorter telomere leukocyte telomere length and both low muscle mass and strength
analysis,was to explore,causal relationship between T2DM and hemiplegia
analysis,was conducted to investigate,causal relationships
analysis,was used to investigate,causal relationships between Glucagon-like peptide-1 receptor agonists use and tubulo-interstitial nephritis risks
analysis,was conducted to investigate,causal relationships between Glucagon-like peptide-1 receptor agonists use and tubulo-interstitial nephritis risks
analysis,evaluates,co-localization probabilities
analysis,may be biased due to,confounding
analysis,was performed to explore,impact of plasma metabolites on the relationship between gut microbiota and T2DM
analysis,was to explore,impact of plasma metabolites on this relationship
analysis,was to explore,mechanisms between T2DM and IBD/UC
analysis,revealed,no significant causal association between Type 2 diabetes mellitus and Alzheimer's disease
analysis,used,OR values and 95% CI
analysis,evaluates,posterior probabilities of different causal variations
analysis,investigated the,"potential causal association between 1,091 blood metabolites, 309 metabolite ratios, and the occurrence of T2DM"
analysis,was to estimate,potential impact of various antihypertensive drug target genes
analysis,aimed to enhance,reliability of causal inferences
analysis,was done with,RevMan software
analysis,evaluates,shared causal variations
analysis,was to explore,underlying biological mechanisms
analysis and forecasting,are done to predict,blood glucose levels
analysis of plant protein intake,revealed that,increase in dietary pulse intake
analyze sentence structure,identify,key components
Analyze the sentence structure,identify,key components
analyze the sentence structure,identify,key components
ANGPTL4,is a key factor contributing to,senescence in DCM
animal models,confirm,impact of insulin resistance on amyloid-β plaques accumulation
animal models of type 1 diabetes mellitus (T1DM),associated with,different insulin availability
animal models of type 2 diabetes mellitus (T2DM),associated with,different insulin availability
ankylosing spondylitis,has detrimental impact on,development of diabetes
ankylosing spondylitis,has critical influence on,diabetes onset
ankylosing spondylitis,has impact on,traits related to glucose metabolism
ankylosing spondylitis,have a causal link,type 2 diabetes
ankylosing spondylitis,causal relationship between,type 2 diabetes
another condition,is associated with,type 2 diabetes mellitus (T2DM)
anti-diabetic medications,impact of,be studied
anti-diabetic medications,have an impact on,GFR decline
anti-diabetic medications,impact on,GFR decline
anti-diabetic medications,have an impact on,mortality rate
anti-diabetic medications,impact on,mortality rate
anti-GAD65,predict,early insulin requirement
anti-GAD65,predict,early insulin requirement in adolescents with a clinical diagnosis of T2DM
anti-IA2,predict,early insulin requirement
anti-IA2,predict,early insulin requirement in adolescents with a clinical diagnosis of T2DM
anti-Zn8T,predict,early insulin requirement
anti-Zn8T,predict,early insulin requirement in adolescents with a clinical diagnosis of T2DM
antidiabetic effects of traditional herbal medicines,are influenced by,gelatin capsules
antidiabetic medications,influence of,depression risk
antihypertensive drug target genes,are associated with,T2DM and its complications
antihypertensive drug target genes,impact on,T2DM and its complications
antihypertensive medications,impact of,be studied
antihypertensive medications,have an impact on,GFR decline
antihypertensive medications,impact on,GFR decline
antihypertensive medications,have an impact on,mortality rate
antihypertensive medications,impact on,mortality rate
antihypertensive medications,are associated with,type 2 diabetes mellitus
antihypertensive medications,have an impact on,type 2 diabetes mellitus
antioxidant effects,on,gene expression associated with Type 2 diabetes mellitus
antioxidant effects on gene expression associated with Type 2 diabetes mellitus,will,be explored
antioxidants,are associated with,T1DM and T2DM complications
antiretroviral therapy,contribute to,chronic inflammation
antiretroviral therapy,cause,chronic inflammation
antiretroviral therapy,contributes to,increased cardiometabolic risk
Antiretroviral therapy,is associated with,increased cardiometabolic risk
antiviral treatments,were evaluated on,these variables
ANXA6 deficiency,results in,impaired alanine-dependent GNG
ANXA6 deficiency,leads to,impaired alanine-dependent GNG
ANXA6 deficiency,causes,impaired glycolytic metabolism
ANXA6 deficiency,causes,impaired glycolytic metabolism under fasting conditions
ANXA6 deficiency,causes,inability to maintain glycolytic metabolism
aortic dissection susceptibility,was not influenced by,glycemic traits
Apelin-MSC-sEVs treatment,resulted in,enhancement of Akt and AMPK pathway activities
apnea-hypopnea index (AHI),was analyzed,arteriosclerosis
apnea-hypopnea index (AHI),did not consistently predict,metabolic burden
APOA-I,associated with,decreased risk
APOA-I,associated with,decreased risk of liver cancer
APOB,associated with,decreased risk
APOB,associated with,decreased risk of liver cancer
ApoE ε4,is associated with,cognitive impairment
ApoE ε4,through the activity of,glycogen synthase kinase-3β
ApoE ε4,activates,GSK-3β
ApoE ε4 allele,are risk factors for,Alzheimer's disease
ApoE ε4 genotype,was associated with,cognitive decline in type 2 diabetes mellitus patients
APOE4,has an impact on,cognition
APOE4,impacts,cognition
APOE4,has an impact on,olfaction
APOE4,impacts,olfaction
APOE4-related cognitive and olfactory impairment,in individuals with,T2DM
apolipoprotein A1,are important mediators in the causal relationship between,Type 2 diabetes mellitus and left ventricular mass index
Apolipoprotein E epsilon 4 (APOE4),was associated with,increased risks of cognitive impairment
Apolipoprotein E epsilon 4 (APOE4),was associated with,olfactory dysfunction
apoptosis of β-cell,is caused by,CD36
apoptosis of β-cell,is caused by,hyperglycemic conditions
Appendicular lean mass,causal relationship with,Alzheimer's disease
Appendicular lean mass,causal relationship with,stroke
Apple cider vinegar,had no impact on,HOMA-IR
apple cider vinegar,impact on,HOMA-IR
apple cider vinegar,had no influence on,HOMA-IR
apple cider vinegar,did not impact,HOMA-IR values
appropriate exercise,can lead to,improvement in diabetes and its complications
appropriate marker,is essential for,Diabetes
appropriate marker,could predict,long-term complications
APTT,is decreased,due to the effect of increased HbA1c on DPN
area under the curve (AUC)-receiver operating characteristic curve analysis,is a step in,determining the validity of various indices to predict type 2 diabetes mellitus
arsenic exposure,causes,disruptions to glucose metabolism
arsenic exposure,causes,liver damage
arsenic exposure,may be associated with,obesity
Artemether,due to,abundance of Beneficial bacteria Lactobacillus
arterial stiffness,is a condition of,arteries
arterial wall remodeling,e.g.,"change in stiffness, calcific deposits formation"
artificial light at night,increases the risk of,developing Type 2 diabetes Mellitus
artificial light at night,increases,risk of developing Type 2 diabetes Mellitus
artificial sweeteners intake in coffee,has a causal relationship with,type 2 diabetes mellitus
aspirin,caused,changes in gene expression
aspirin,had an impact on,glucose levels
aspirin,affected,glucose levels
aspirin,influenced,glucose levels
associated pathways,may influence,emergence of mild cognitive impairment
association,was with,all-cause mortality
association,may be due to,confounding factors
association,may be influenced by,confounding factors
association,may be influenced by,other factors
association,is related to,progression from pre-diabetes to diabetes
association,was due to,properties of curcumin
association,may be due to,shared pathological mechanisms
association,using,summary-level statistics
association between genetically predicted dyslipidemia and mtDNA copy number,was suggestive of,evidence for a potential causal association between CAD and mtDNA copy number
association between genetically predicted dyslipidemia and mtDNA copy number,for,P value
association between type 2 diabetes mellitus and hemodynamic responses to orthostasis,assessed using,novel approach
association of changes in leukocyte telomere length with sarcopenia,is likely to be,causal
association of circulating 25-hydroxyvitamin D,with,insulin secretion
association of circulating 25-hydroxyvitamin D,with,time in range
association of circulating 25-hydroxyvitamin D with time in range and insulin secretion,to be explored,type 2 diabetes
association of Glucose variability with all-cause and cardiovascular mortality,is mediated by,Echocardiographic measurements of cardiac structure and function
association of HbA1c,was analyzed in,mediation analysis
association of pathways,directly or indirectly,insulin resistance
associations,were with,risk factors
associations between Triglyceride-glucose index and all-cause/cause-specific death,determine the,Type 2 diabetes mellitus cohort
AT,is associated with,IR
AT,is related to,T2DM
AT,is associated with,T2DM
AT-Dicer KO mice,were used to assess the impact of,miR-4472 on glucose uptake and insulin sensitivity
atherogenic index of plasma,had adverse impacts on,ABI and LEAD
Atorvastatin,resulted in,reduction
atorvastatin,resulted in,reduction of CIMT and CRP
"atypical, energy-related symptoms",are associated with,low-grade inflammation
AUC(C-peptide0-180 min),were associated with,delayed peak glucose time
augmentation of beta-cell function,due to,effect
autism spectrum disorder,was not associated with,risk of type 1 diabetes mellitus
autoimmune disorders,have a critical influence on,onset of diabetes
autonomic nervous system,during,muscle contractions
available data,is associated with,FI
AVS,causal association,kidney function
AVS,had,no significant causal association
BACE1,has a role in,amyloid-β production
BACE1,is associated with,amyloid-β production
BACE1,is known for,role in amyloid-β production
BACE1,is associated with,Type 2 diabetes mellitus
BAG3,is associated with,first-phase insulin secretion in humans
BAG3,influences,insulin granule exocytosis
BAG3,influence of,β-cell functionality
BAG3,influences,β-cell functionality
BAG3,is a factor associated with,β-cell functionality
BAG3,is associated with,β-cell functionality
BAG3,influences,process of insulin granule exocytosis
bariatric surgery,led to,increase in proinflammatory cytokines in adipocyte secretome
bariatric surgery,resulted in,increase in proinflammatory cytokines in adipocyte secretome
bariatric surgery,led to,increase in proinflammatory cytokines in plasma levels
bariatric surgery,resulted in,increase in proinflammatory cytokines in plasma levels
basal bolus therapy + E group,compared to,elsewhere
basal insulin,is begun,appropriately
basal insulin treatment,is initiated for,individuals with T2DM
basal levels of Cer (33:1),could enhance,predictive power by 100% for changes in baPWV in the vitamin D group
basal levels of GM3 (44:4),could enhance,predictive power by 100% for changes in baPWV in the vitamin D group
basal once-daily insulins,are used in,type 2 diabetes mellitus
Basal-bolus insulin regimen,is associated with,worse glycemic baselines
Basal-bolus insulin regimen,results in,worse glycemic control
baseline AD biomarkers,were involved in,mediation of the influence of OH on cognition in T2DM
baseline alanine aminotransferase levels,can independently predict,differential responses to these drugs
baseline alanine aminotransferase levels,predict,differential responses to these drugs
baseline alanine aminotransferase levels,can predict,differential responses to these drugs
baseline alanine aminotransferase levels,predict,drug responses
baseline alanine aminotransferase levels,can predict,drug responses
baseline ALT levels,were significantly associated with,changes in HbA1c
baseline ALT levels,were significantly associated with,time in range at 24 weeks
baseline PCATa,predicts,changes in plaque composition and burden over 12 months
baseline pericoronary adipose tissue attenuation,was not associated with,changes in calcified plaque volume
baseline pericoronary adipose tissue attenuation,was associated with,changes in non-calcified plaque burden
baseline pericoronary adipose tissue attenuation,was significantly associated with,changes in total plaque burden
baseline pericoronary adipose tissue attenuation,was associated with,changes in total plaque volume
baseline pericoronary adipose tissue attenuation,was associated with,compositional plaque changes
Baseline Pericoronary adipose tissue attenuation,was associated with,compositional plaque changes
Baseline Pericoronary adipose tissue attenuation,is a predictor of,compositional plaque changes in T2DM without known CAD
Baseline Pericoronary adipose tissue attenuation,predicts,compositional plaque changes over 12 months in T2DM without known CAD
Baseline Pericoronary adipose tissue attenuation,was associated with,evaluated risk factors
baseline pericoronary adipose tissue attenuation,is associated with,increases in non-calcified plaque volumes
baseline pericoronary adipose tissue attenuation,is associated with,increases in plaque burden
baseline pericoronary adipose tissue attenuation,is associated with,increases in total plaque volumes
baseline pericoronary adipose tissue attenuation,was associated with,non-calcified plaque burden progression
baseline risk factors,contribute to,progression to albuminuria
basis,for,changes in cognitive function in diabetic patients
Bayesian co-localization analysis,use,"evaluate the posterior probabilities of different causal variations, shared causal variations, and co-localization probabilities"
being generally obese,increased the risk of,cardiovascular all-cause mortality
being generally obese,in comparison with,non-obese
being obese,was compared with,non-obese individuals
Beneficial bacteria L,due to,levels of SCFAs
Beneficial bacteria Lactobacillus,increases,abundance
beneficial effect of improving glucose metabolism,was caused by,gut microbiota dysbiosis
benefits,associated with,infusion
benefits,are associated with,infusion
benefits,contribute to,lowering the risk of HF
benefits,are associated with,Yoga intervention
benefits of the intake of these amino acids,for improving factors associated with,cardiovascular health
best cutoff value for Adipsin,to predict,Type 2 diabetes mellitus
best-fitting random-intercept mixed-effects (lm22) model,showed that,each patient's baseline glucose levels influenced subsequent glucose measurements
beta cell failure,can lead to,earlier requirement for insulin treatment
better quality of life,can result in,reduced health care expenditures
BF,risk factor for,low muscle mass
BF,was associated with,T2DM
Bidirectional Mendelian randomization analyses,provide,supporting evidence for a potential causal relationship between TET2-related CHIP and the development of T2DM
bidirectional Mendelian randomization Study,suggest that,Type 2 diabetes mellitus negative causal effect on Ulcerative colitis
Bidirectional MR,was used to examine,causal link between psoriasis and DM
Bidirectional MR,was conducted to examine,possibility of a causal link between psoriasis and DM
bidirectional univariable Mendelian Randomization analysis,was employed to,evaluate the causal effects of non-oily fish intake on type 2 diabetes
bidirectional univariate Mendelian randomization (UVMR),used to investigate,genetic causal relationship of Sarcopenia and 11 respiratory diseases
bilirubin,may causally contribute to,development of T2DM
bilirubin,may causally contribute to,protection
bilirubin,may causally contribute to,protection against T1DM
bilirubin,may causally contribute to,protection against T2DM
bilirubin,contribute to,protection against the development of T2DM
bilirubin,may causally contribute to,protection against the development of T2DM
binary logistic regression,was used to,identify factors influencing the severity of chronic pain in old patients with T2DM combined with chronic pain
bioactive compounds,influence,Alzheimer's disease progression
bioactive compounds,modulate,gene expression
bioactive compounds,have been shown to beneficially influence,glucose homeostasis
bioactive compounds,have been shown to beneficially influence,insulin sensitivity
bioactive compounds,including,polyphenols
bioactive compounds,have been shown to beneficially influence,problems associated with Type 2 diabetes mellitus
bioactive compounds including polyphenols,show,promising results in animal studies and clinical trials
biochemical parameters,include,"Glucose, Triglyceride, HDL, Albumin, WBC"
biochemical parameters and clinical characteristics,were independently associated with,glycemic deterioration
biological processes,associated with,dysglycaemic control
biological processes,associated with,spleen-dampness syndrome
biomarkers,may contribute to,better diabetes control
biomarkers,causal relationship is between,cognitive decline in Type 2 diabetes mellitus patients
biomarkers,causal relationship between,development of cognitive decline
birth weight,has causal relationship with,type 2 diabetes mellitus
birth weight,causal relationship between,type 2 diabetes mellitus
Bivariate Correlation,assessed,relationship between inflammatory biomarkers and diabetes status (glycosylated hemoglobin)
black tea drinks,with,dextrin
black tea drinks,with,inulin
black tea drinks,with,inulin and dextrin
black tea drinks with inulin and dextrin,reduced,PG fluctuations risk
blood,influenced by,influence
blood clots,can block,blood vessels
blood clots,lead to,heart attack or stroke
blood flow-restrictive resistance training,reduced,risk of atherosclerotic cardiovascular disease
Blood glucose,causal associations with,epilepsy
Blood glucose,have causal associations with,epilepsy
Blood glucose,associated with,epilepsy
Blood Glucose,associated with,increased all-cause mortality
blood glucose control,was improved in,adults with T2DM
blood glucose fluctuations,contribute to,clinical inertia
Blood glucose indexes,potential causal associations of,epilepsy
blood glucose levels,show no significant impact on,all processes
blood glucose levels,have no significant impact on,all processes
blood glucose levels,declined,more rapidly
blood glucose levels,that are,near normal
blood glucose levels,are factors associated with,obesity
blood glucose levels,are associated with,progression from pre-diabetes to diabetes
blood glucose levels,has predictive value for,severity of coronary artery disease
blood glucose levels,for,severity of coronary artery disease and cardiovascular adverse events
blood glucose levels,predict,time series analysis and forecasting
blood glucose levels,are measured to determine,type 2 diabetes diagnosis
blood glucose measurements,contribute to,clinical inertia
Blood Glucose quartiles,associated with,increased all-cause mortality
blood group A allele,is associated with,different diseases
blood group A allele,is associated with,heart failure
blood group A allele,is associated with,increased risk of multiple CMD
Blood group A allele,is associated with,increased risk of multiple CMD
blood group A allele,is associated with,variety of conditions
blood group A allele,is associated with,various conditions
blood group A allele,is associated with,venous thromboembolism
blood pressure (BP) variation,was known to be,independent predictor of all-cause mortality in patients with type 2 diabetes mellitus (T2DM)
blood pressure management,may be impacted by,study's findings
blood pressure management,may be influenced by,the study
blood samples,determined in,data
blood samples,were obtained,urine samples
blood sugar,can cause,death
blood sugar,can cause,death in serious cases
blood sugar level,for a long time,can cause death in serious cases
blood sugar level,can cause,death in serious cases
blood sugar levels,raises,slowly
BMD,is influenced by,insulin resistance
